current_url,page_name,language,source_file,status,indexable,linked_from,notes
/,Root redirect,n/a,src/router/AppRoutes.tsx,redirect,no,direct request,Deterministically redirects to /sv
/sv,Homepage,sv,src/router/AppRoutes.tsx,keep,yes,logo and navigation,Preferred Swedish homepage
/en,Homepage,en,src/router/AppRoutes.tsx,keep,yes,language switcher,Preferred English homepage
/sv/services,Services,sv,src/router/AppRoutes.tsx,keep,yes,navigation and home,Service overview
/en/services,Services,en,src/router/AppRoutes.tsx,keep,yes,navigation and home,Service overview
/sv/services/requirements-analysis,Requirements analysis,sv,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/en/services/requirements-analysis,Requirements analysis,en,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/sv/services/testing-qa,Testing and QA,sv,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/en/services/testing-qa,Testing and QA,en,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/sv/services/project-management,Project management,sv,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/en/services/project-management,Project management,en,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/sv/services/information-management,Information management,sv,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/en/services/information-management,Information management,en,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/sv/services/ux-design,UX design,sv,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/en/services/ux-design,UX design,en,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/sv/services/agile-methods,Agile methods,sv,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/en/services/agile-methods,Agile methods,en,src/pages/ServiceDetail.tsx,keep,yes,services cards header footer,Valid service slug
/sv/about,About,sv,src/router/AppRoutes.tsx,keep,yes,navigation and home,Translated route equivalent
/en/about,About,en,src/router/AppRoutes.tsx,keep,yes,navigation and home,Translated route equivalent
/sv/careers,Careers,sv,src/router/AppRoutes.tsx,keep,yes,navigation and home,Translated route equivalent
/en/careers,Careers,en,src/router/AppRoutes.tsx,keep,yes,navigation and home,Translated route equivalent
/sv/contact,Contact,sv,src/router/AppRoutes.tsx,keep,yes,navigation service CTAs,Accepts optional service query parameter
/en/contact,Contact,en,src/router/AppRoutes.tsx,keep,yes,navigation service CTAs,Accepts optional service query parameter
/sv/personalpolicy,Personnel policy,sv,src/router/AppRoutes.tsx,keep,yes,footer,Existing policy content made reachable
/en/personalpolicy,Personnel policy,en,src/router/AppRoutes.tsx,keep,yes,footer,Existing policy content made reachable
/sv/privacy,Privacy information,sv,src/router/AppRoutes.tsx,noindex,no,footer,No full legal policy source was supplied
/en/privacy,Privacy information,en,src/router/AppRoutes.tsx,noindex,no,footer,No full legal policy source was supplied
/#/sv and /#/en,Legacy hash routes,n/a,index.html,improve,no,existing live links,Client bridge converts known hash paths to clean paths after deployment
/*,Not found,n/a,src/router/AppRoutes.tsx,noindex,no,direct request,Translated application-level 404
