old_url,new_url,action,status_code,reason,traffic,backlinks,verified
/,/sv,redirect,200,Deterministic client-side application default; no permanent server redirect added,unknown,unknown,local
/#/sv,/sv,improve,200,Legacy HashRouter URL is converted in index.html before React loads,unknown,unknown,local
/#/en,/en,improve,200,Legacy HashRouter URL is converted in index.html before React loads,unknown,unknown,local
/#/sv/services,/sv/services,improve,200,Preserves existing visible navigation URL,unknown,unknown,local
/#/en/services,/en/services,improve,200,Preserves existing visible navigation URL,unknown,unknown,local
/#/sv/services/:serviceId,/sv/services/:serviceId,improve,200,Preserves valid legacy service URLs,unknown,unknown,local
/#/en/services/:serviceId,/en/services/:serviceId,improve,200,Preserves valid legacy service URLs,unknown,unknown,local
/sv/privacy,/sv/privacy,noindex,200,Footer link resolved but full legal-policy content was not supplied,unknown,unknown,local
/en/privacy,/en/privacy,noindex,200,Footer link resolved but full legal-policy content was not supplied,unknown,unknown,local
/*,,noindex,404,Invalid routes render the application not-found page,unknown,unknown,local
